No,id_item,nama_item,katagory,Brand,harga,rating
25,EI025,Eiger Kaos Moorland Stripe Short,T-Shirt,Eiger,189000,"4,8"
26,EI026,Eiger Pants Egrid,Pants,Eiger,569000,"4,9"
27,EI027,Eiger Pants Strato Jogger Pants,Pants,Eiger,459000,"4,7"
28,EI028,Eiger Pants Varsha Slouch Pants,Pants,Eiger,429000,"4,5"
29,EI029,Eiger Pants Varsha Overall,Pants,Eiger,469000,"4,6"
30,EI030,Eiger Pants Getter Ankle Pants,Pants,Eiger,329000,"4,9"
31,EI031,Eiger Pants Kalla Jegging,Pants,Eiger,449000,"4,5"
32,EI032,Eiger Pants Torla Cargo Long Pants,Pants,Eiger,419000,"4,8"
33,EI033,Eiger Pants Kromoa Cargo Pants,Pants,Eiger,579000,"4,7"
34,EI034,Eiger Pants Volvere Pants,Pants,Eiger,549000,"4,8"
35,EI035,Eiger Pants Safar Chinos Jogger Pants,Pants,Eiger,429000,"4,5"
36,EI036,Eiger Pants Moorland Overall,Pants,Eiger,359000,5
37,EI037,Eiger Pants Moorland Warmer Pants,Pants,Eiger,319000,5
38,EI038,Eiger Pants Raintour Long Pants,Pants,Eiger,549000,"4,8"
39,EI039,Eiger Pants Trisha Overall Midi Dress,Pants,Eiger,449000,"4,3"
40,EI040,Eiger Pants  Trisha Modular Pants,Pants,Eiger,459000,"4,7"
41,EI041,Eiger Pants Trisha Carpenter Pants,Pants,Eiger,419000,"4,5"
42,EI042,Eiger Pants Cullotes,Pants,Eiger,349000,"4,2"
43,EI043,Eiger Pants Trisha Romper,Pants,Eiger,449000,"4,1"
44,EI044,Eiger Pants Moorland Active Pants,Pants,Eiger,339000,"4,6"
45,EI045,Eiger Pants Colmar Jogger Pants,Pants,Eiger,489000,"4,8"
46,EI046,Eiger Pants Quest Denim Pants ,Pants,Eiger,509000,"4,8"
47,EI047,Eiger Pants Ningbo,Pants,Eiger,539000,"4,7"
48,EI048,Eiger Pants Copper Denim Pants,Pants,Eiger,499000,"4,5"
49,EI049,Eiger Pants Rust Denim Pants,Pants,Eiger,589000,"4,6"
50,EI050,Eiger Pants Nubra Denim Pants,Pants,Eiger,419000,"4,7"
51,EI051,Eiger Shirt Kenali Negeri Shirt Short ,Shirt,Eiger,329000,"4,7"
52,EI052,Eiger Shirt Bentayan Flannel ,Shirt,Eiger,439000,"4,6"
53,EI053,Eiger Shirt Takian Long Shirt,Shirt,Eiger,389000,"4,4"
54,EI054,Eiger Shirt Takian Short Shirt,Shirt,Eiger,349000,"4,7"
55,EI055,Eiger Shirt Ethno Long Shirt,Shirt,Eiger,419000,"4,2"
56,EI056,Eiger Shirt New Madras Shirt,Shirt,Eiger,339000,"4,8"
57,EI057,Eiger Shirt Biscot,Shirt,Eiger,349000,"4,9"
